Tree No.,10/9/2019,7/18/2020,change1,10/15/2020,change2,6/4/2021,change3,10/8/2021,change4,,
1,70.58,73.49,2.91,74.63,1.14,76.58,1.95,78.46,1.88,,
2,39.79,42.27,2.48,42.25,-0.02,44.05,1.80,45.19,1.14,,
3,53.04,56.13,3.09,56.81,0.68,58.41,1.60,61.18,2.77,,
4,45.54,48.45,2.91,47.76,-0.69,49.92,2.16,50.42,0.5,,
5,61.47,65.78,4.31,65.44,-0.34,67.81,2.37,69.54,1.73,,
6,55.81,58.14,2.33,57.78,-0.36,60.03,2.25,61.09,1.06,,
7,76.02,79.93,3.91,82.30,2.37,82.92,0.62,85.56,2.64,,
8,47.83,50.12,2.29,50.67,0.55,51.73,1.06,52.82,1.09,,
9,34.96,36.73,1.77,36.96,0.23,37.92,0.96,38.74,0.82,,
10,61.35,63.50,2.15,63.34,-0.16,64.32,0.98,65.19,0.87,,
11,65.47,68.74,3.27,67.96,-0.78,69.9,1.94,72.24,2.34,,
12,62.46,65.88,3.42,66.71,0.83,68.25,1.54,70.22,1.97,,
13,46.54,49.10,2.56,49.37,0.27,50.79,1.42,52.12,1.33,,
14,34.90,37.33,2.43,37.12,-0.21,38.1,0.98,39.24,1.14,,
15,71.36,74.56,3.20,74.33,-0.23,76.36,2.03,77.43,1.07,,
16,54.96,58.51,3.55,59.44,0.93,60.83,1.39,62.49,1.66,,
17,45.87,49.04,3.17,49.63,0.59,50.74,1.11,52.8,2.06,,
18,58.42,60.45,2.03,60.67,0.22,63.11,2.44,64.38,1.27,,
19,69.64,72.39,2.75,73.10,0.71,73.83,0.73,75.88,2.05,,
20,57.03,61.06,4.03,61.45,0.39,63.71,2.26,64.63,0.92,,
21,50.54,52.09,1.55,52.23,0.14,53.62,1.39,55.65,2.03,,
22,59.77,64.41,4.64,64.91,0.50,66.06,1.15,68.61,2.55,,
23,41.26,43.98,2.72,44.14,0.16,45.78,1.64,46.92,1.14,,
24,55.97,58.84,2.87,59.41,0.57,61.48,2.07,63.38,1.9,,
25,53.25,56.46,3.21,55.91,-0.55,57.38,1.47,58.69,1.31,,
26,47.77,50.81,3.04,51.68,0.87,52.88,1.20,53.69,0.81,,
27,40.39,43.15,2.76,43.68,0.53,45.27,1.59,46.86,1.59,,
28,53.72,55.17,1.45,54.89,-0.28,57.48,2.59,58.68,1.2,,
29,71.93,75.11,3.18,77.39,2.28,78.56,1.17,81.58,3.02,,
30,49.44,51.15,1.71,52.15,1.00,52.45,0.30,53.15,0.7,,
31,66.84,66.40,-0.44,67.65,1.25,69.27,1.62,69.67,0.4,,
32,55.10,56.93,1.83,56.96,0.03,58.58,1.62,59.73,1.15,,
33,76.87,78.27,1.40,79.10,0.83,80.09,0.99,81.33,1.24,,
34,46.47,47.52,1.05,47.83,0.31,48.71,0.88,49.6,0.89,,
35,44.36,46.36,2.00,46.15,-0.21,47.48,1.33,48.08,0.6,,
36,46.09,48.07,1.98,46.92,-1.15,48.26,1.34,49.15,0.89,,
37,68.28,71.28,3.00,71.77,0.49,72.99,1.22,74.83,1.84,,
38,58.43,58.33,-0.10,56.86,-1.47,55.8,-1.06,54.73,-1.07,,
39,75.94,76.91,0.97,77.46,0.55,78.92,1.46,80.38,1.46,,
40,72.83,77.00,4.17,76.67,-0.33,78.31,1.64,79.96,1.65,,
41,58.80,60.85,2.05,61.61,0.76,63.28,1.67,64.03,0.75,,
42,32.04,33.24,1.20,32.77,-0.47,33.7,0.93,34.26,0.56,,
43,72.84,75.09,2.25,75.94,0.85,77.67,1.73,79.12,1.45,,
44,72.06,74.21,2.15,75.06,0.85,75.98,0.92,77.31,1.33,,
45,58.16,60.72,2.56,61.36,0.64,62.59,1.23,64.08,1.49,,
AVG,56.49,58.98,2.48,59.29,0.32,60.71,1.42,62.07,1.36,,
