#,Date Time,Voltage,Current,Rain,Wind Speed,Gust Speed,Wind Direction,Temp,RH,Solar Radiation
76,12-02-21 02:01,-0.1988,0,0,0,0,259.7,2.797,68.9,0.6
77,12-02-21 02:11,-0.1988,0,0,0,0,259.7,2.61,67.1,0.6
78,12-02-21 02:21,-0.1988,0,0,0,0,247.1,2.503,68.2,0.6
79,12-02-21 02:31,-0.1988,0,0,0,0,263.9,2.45,68.3,0.6
80,12-02-21 02:41,-0.1988,0,0,0,0,254.1,2.316,67.2,0.6
81,12-02-21 02:51,-0.1988,0,0,0,0,255.5,2.101,66.6,0.6
82,12-02-21 03:01,-0.1988,0,0,0,0,263.9,2.101,66,0.6
83,12-02-21 03:11,-0.1988,0,0,0,0,254.1,2.047,66.5,0.6
84,12-02-21 03:21,-0.1988,0,0,0,0,266.7,1.967,66.7,0.6
85,12-02-21 03:31,-0.1988,0,0,0,0,256.9,1.805,65.5,0.6
86,12-02-21 03:41,-0.1988,0,0,0,0,247.1,1.724,63.8,0.6
87,12-02-21 03:51,-0.1988,0,0,0,0,266.7,1.615,61.6,0.6
88,12-02-21 04:01,-0.1988,0,0,0,0,247.1,1.453,59.7,0.6
89,12-02-21 04:11,-0.1988,0,0,0,0,256.9,1.18,59.6,0.6
90,12-02-21 04:21,-0.1988,0,0,0,0,261.1,0.989,58.4,0.6
91,12-02-21 04:31,-0.1988,0,0,0,0,275.2,0.825,57.3,0.6
92,12-02-21 04:41,-0.1988,0,0,0,0,254.1,0.522,58.4,0.6
93,12-02-21 04:51,-0.1988,0,0,0,0,266.7,0.55,58.3,0.6
94,12-02-21 05:01,-0.1988,0,0,0,0,256.9,0.467,57.7,0.6
95,12-02-21 05:11,-0.1988,0,0,0,0,273.8,0.273,58.5,0.6
96,12-02-21 05:21,-0.1988,0,0,0,0,258.3,-0.171,59.5,0.6
97,12-02-21 05:31,-0.1988,0,0,0,0,266.7,-0.395,61.3,0.6
98,12-02-21 05:41,-0.1988,0,0,0,0,252.7,-0.367,62.1,0.6
99,12-02-21 05:51,-0.1988,0,0,0,0,252.7,-0.563,62.4,0.6
100,12-02-21 06:01,-0.1988,0,0,0,0,272.4,-0.648,63.5,0.6
101,12-02-21 06:11,-0.1988,0,0,0,0,262.5,-0.789,63.5,0.6
102,12-02-21 06:21,-0.1988,0,0,0,0,252.7,-0.873,63.9,0.6
103,12-02-21 06:31,-0.1988,0,0,0,0,241.5,-0.958,64.6,0.6
104,12-02-21 06:41,-0.1988,0,0,0,0,258.3,-1.213,65.4,0.6
105,12-02-21 06:51,-0.1988,0,0,0,0,247.1,-0.958,65.6,0.6
106,12-02-21 07:01,-0.1988,0,0,0,0,233.1,-0.817,65,0.6
107,12-02-21 07:11,-0.1988,0,0,0,0,258.3,-1.242,65.3,0.6
108,12-02-21 07:21,-0.1988,0,0,0,0,255.5,-1.27,66.1,0.6
109,12-02-21 07:31,-0.1988,0,0,0,0,256.9,-1.213,66.4,0.6
110,12-02-21 07:41,-0.1988,0,0,0,0,245.7,-1.27,66.9,0.6
111,12-02-21 07:51,-0.1988,0,0,0,0,255.5,-1.185,66.3,0.6
112,12-02-21 08:01,-0.1988,0,0,0,0,254.1,-1.299,66.5,0.6
113,12-02-21 08:11,-0.1988,0,0,0,0,224.6,-1.213,67.3,0.6
114,12-02-21 08:21,-0.1988,0,0,0,0,292,-1.384,68.2,0.6
115,12-02-21 08:31,-0.1988,0,0,0,0,247.1,-1.441,68.7,0.6
116,12-02-21 08:41,-0.1988,0,0,0,0,272.4,-1.356,69.9,1.9
117,12-02-21 08:51,-0.1988,0,0,0,0,251.3,-1.413,70.5,6.9
118,12-02-21 09:01,-0.1988,0,0,0,0,279.4,-1.527,71.5,15.6
119,12-02-21 09:11,-0.1988,0,0,0,0,300.4,-1.441,72.9,21.9
120,12-02-21 09:21,-0.1988,0,0,0,0,245.7,-1.213,72.7,25.6
121,12-02-21 09:31,-0.1988,0,0,0,0,238.7,-1.242,72.1,35.6
122,12-02-21 09:41,-0.1988,0,0,0,0,273.8,-1.27,71.9,35.6
123,12-02-21 09:51,-0.1988,0,0,0,0,307.5,-1.299,71.6,38.1
124,12-02-21 10:01,-0.1988,0,0,0,0,266.7,-1.185,70.4,56.9
125,12-02-21 10:11,-0.1988,0,0,0,0,196.5,-1.1,70.5,54.4
126,12-02-21 10:21,-0.1988,0,0,0,0,240.1,-0.958,69.8,51.9
127,12-02-21 10:31,-0.1988,0,0,0,0,235.9,-0.873,69.3,50.6
128,12-02-21 10:41,-0.1988,0,0,0,0,252.7,-0.986,69,40.6
129,12-02-21 10:51,-0.1988,0,0,0,0,234.5,-0.873,68.6,59.4
130,12-02-21 11:01,-0.1988,0,0,0,0,251.3,-0.088,67.5,98.1
131,12-02-21 11:11,-0.1988,0,0,0,0,255.5,0.495,65.7,95.6
132,12-02-21 11:21,-0.1988,0,0,0,0,256.9,0.439,64.3,231.9
133,12-02-21 11:31,-0.1988,0,0,0,0,258.3,0.962,63.8,241.9
134,12-02-21 11:41,-0.1988,0,0,0,0,265.3,0.989,62.2,349.4
135,12-02-21 11:51,-0.1988,0,0,0,0,271,1.262,61.5,340.6
136,12-02-21 12:01,-0.1988,0,0,0,0,269.6,1.534,60,360.6
137,12-02-21 12:11,-0.1988,0,0,0,0,322.9,2.101,58.4,364.4
138,12-02-21 12:21,-0.1988,0,0,0,0,255.5,2.396,55.9,366.9
139,12-02-21 12:31,-0.1988,0,0,0,0,245.7,2.423,55.1,366.9
140,12-02-21 12:41,-0.1988,0,0,0,0,212,2.343,54.4,364.4
141,12-02-21 12:51,-0.1988,0,0,0,0,287.8,3.063,54.4,369.4
142,12-02-21 13:01,-0.1988,0,0,0,0,248.5,2.503,53,158.1
143,12-02-21 13:11,-0.1988,0,0,0,0,244.3,1.778,54.2,98.1
144,12-02-21 13:21,-0.1988,0,0,0,0,244.3,1.751,55,145.6
145,12-02-21 13:31,-0.1988,0,0,0,0,252.7,2.664,55.2,93.1
146,12-02-21 13:41,-0.1937,0,0,0,0,293.4,2.797,54.2,86.9
147,12-02-21 13:51,-0.1988,0,0,0,0,255.5,2.717,53.9,90.6
148,12-02-21 14:01,-0.1988,0,0,0,0,255.5,2.209,52.6,310.6
149,12-02-21 14:11,-0.1988,0,0,0,0,230.2,3.327,52.3,191.9
150,12-02-21 14:21,-0.1988,0,0,0,0,231.6,2.93,50.1,155.6
