Sample ID,δ2HVSMOW (‰),δ18OVSMOW (‰),Comments,2H Analysis #,18O Analysis #,Sample Substrate,Date,Block,Treatment,TreeNumb,Count,Replicates
B1C_33_611,-130.5,-16.17,,PD-86080,PD-85697,tree,2021-06-11,1,C,33,1,Y
B1C_33_611,-132.3,-16.12,replicate,PD-86081,PD-85698,tree,2021-06-11,1,C,33,2,Y
B1C_33_107,-102,-13.54,,PD-85995,PD-85611,tree,2021-10-07,1,C,33,,
B1C_29_911,-129.9,-15.3,,PD-86324,PD-85845,tree,2021-09-11,1,C,29,,
B1C_20_910,-131.7,-17.27,,PD-86559,PD-86178,tree,2021-09-10,1,C,20,,
B1C_20_721,-118,-14.74,,PD-86627,PD-86224,tree,2021-07-21,1,C,20,,
B1C_20_611,-139.6,-16.73,,PD-86005,PD-85621,tree,2021-06-11,1,C,20,,
B1C_20_107,-112.6,-13.35,,PD-86035,PD-85652,tree,2021-10-07,1,C,20,,
B1C_20_107,-105.5,-12.69,,PD-86071,PD-85688,tree,2021-10-07,1,C,20,,
B1C_18_910,-135.2,-17.35,,PD-86564,PD-86183,tree,2021-09-10,1,C,18,1,Y
B1C_18_910,-134.7,-17.4,replicate,PD-86565,PD-86184,tree,2021-09-10,1,C,18,2,Y
B1C_18_721,-130.5,-16.33,,PD-85979,PD-85595,tree,2021-07-21,1,C,18,,
B1C_18_611,-135.3,-17.32,,PD-86096,PD-85713,tree,2021-06-11,1,C,18,,
B1C_18_107,-105.5,-13.04,,PD-86009,PD-85625,tree,2021-10-07,1,C,18,,
