Tree No.,10/9/2019,7/18/2020,change1,10/15/2020,change2,6/4/2021,change3,10/8/2021,change4,,
46,46.59,48.41,1.82,48.67,0.26,50.18,1.51,51.19,1.01,,
47,31.83,33.35,1.52,33.42,0.07,33.66,0.24,33.88,0.22,,
48,45.00,45.81,0.81,46.82,1.01,47.43,0.61,47.71,0.28,,
49,43.78,45.44,1.66,45.67,0.23,46.29,0.62,47.68,1.39,,
50,41.34,42.71,1.37,42.92,0.21,43.27,0.35,44.5,1.23,,
51,58.41,60.51,2.10,61.55,1.04,62.03,0.48,63.38,1.35,,
52,38.12,38.43,0.31,39.94,1.51,39.22,-0.72,39.71,0.49,,
53,68.57,70.59,2.02,72.40,1.81,72.55,0.15,73.81,1.26,,
54,40.98,42.52,1.54,42.44,-0.08,43.26,0.82,43.78,0.52,,
55,39.37,40.46,1.09,40.68,0.22,40.69,0.01,41.21,0.52,,
56,52.99,54.70,1.71,55.14,0.44,55.65,0.51,56.61,0.96,,
57,72.77,74.51,1.74,75.38,0.87,76.13,0.75,77.58,1.45,,
58,60.05,62.23,2.18,63.01,0.78,63.54,0.53,64.3,0.76,,
59,50.23,52.57,2.34,52.48,-0.09,53.55,1.07,54.52,0.97,,
60,56.08,58.18,2.10,58.91,0.73,58.93,0.02,59.47,0.54,,
61,64.60,67.48,2.88,68.62,1.14,69.21,0.59,71.71,2.5,,
62,36.78,38.02,1.24,38.35,0.33,39.38,1.03,39.66,0.28,,
63,64.60,66.94,2.34,67.57,0.63,68.49,0.92,70.19,1.7,,
64,71.75,74.65,2.90,75.12,0.47,75.96,0.84,78.55,2.59,,
65,48.72,49.26,0.54,49.80,0.54,50.32,0.52,51.29,0.97,,
66,30.34,31.89,1.55,32.17,0.28,32.95,0.78,33.24,0.29,,
67,35.68,37.45,1.77,37.70,0.25,38.18,0.48,39.33,1.15,,
68,38.97,40.45,1.48,40.64,0.19,41.23,0.59,42.05,0.82,,
69,48.09,50.84,2.75,52.42,1.58,52.45,0.03,53.78,1.33,,
70,38.29,40.03,1.74,40.95,0.92,41.38,0.43,42.21,0.83,,
71,33.87,34.67,0.80,34.83,0.16,35.18,0.35,35.63,0.45,,
72,25.77,26.25,0.48,25.73,-0.52,26.53,0.80,25.97,-0.56,,
73,41.84,42.41,0.57,not found ,,43.34,,44.38,1.04,,
74,46.57,50.57,4.00,51.61,1.04,51.68,0.07,53.32,1.64,,
75,36.23,37.75,1.52,38.73,0.98,38.89,0.16,39.44,0.55,,
76,26.22,26.53,0.31,27.31,0.78,27.74,0.43,28.05,0.31,,
77,50.28,52.42,2.14,52.66,0.24,53.18,0.52,54.69,1.51,,
78,46.34,47.16,0.82,47.82,0.66,48.2,0.38,49.36,1.16,,
79,44.94,46.72,1.78,47.22,0.50,47.8,0.58,49.04,1.24,,
80,33.90,34.46,0.56,34.47,0.01,35,0.53,35.29,0.29,,
81,27.56,28.97,1.41,28.67,-0.30,29.21,0.54,29.85,0.64,,
82,45.37,46.88,1.51,47.40,0.52,47.47,0.07,47.84,0.37,,
83,36.60,37.30,0.70,38.07,0.77,38.51,0.44,38.46,-0.05,,
84,40.33,41.79,1.46,42.13,0.34,42.9,0.77,43.73,0.83,,
85,64.33,66.27,1.94,67.04,0.77,67.08,0.04,68.39,1.31,,
86,78.90,79.16,0.26,78.85,-0.31,82.41,3.56,83.13,0.72,,
87,59.38,60.99,1.61,61.36,0.37,61.64,0.28,63.39,1.75,,
88,38.52,40.77,2.25,41.15,0.38,40.38,-0.77,40.9,0.52,,
89,42.42,42.79,0.37,43.15,0.36,43.79,0.64,44.6,0.81,,
90,42.64,44.95,2.31,45.74,0.79,45.78,0.04,46.73,0.95,,
AVG,46.35,47.92,1.56,48.56,0.52,48.95,0.51,49.86,0.91,,
