Tree No.,10/9/2019,7/18/2020,change1,10/15/2020,change2,6/4/2021,change3,10/8/2021,change4,,
1,49.80,50.38,0.58,51.35,0.97,52,0.65,52.95,0.95,,
2,61.00,62.10,1.10,64.67,2.57,65.26,0.59,67.6,2.34,,
3,46.64,50.94,4.30,51.54,0.60,52.72,1.18,54.25,1.53,,
4* (dead),28.26,-,-,-,-,,#VALUE!,,0,,
5,54.86,57.12,2.26,58.00,0.88,58.96,0.96,60.51,1.55,,
6,47.74,49.41,1.67,49.51,0.10,50.25,0.74,51.79,1.54,,
7,44.60,47.47,2.87,47.78,0.31,48.88,1.10,50.87,1.99,,
8,50.39,54.75,4.36,54.19,-0.56,56.2,2.01,57.84,1.64,,
9,37.46,40.57,3.11,41.02,0.45,41.39,0.37,42.9,1.51,,
10,47.10,50.48,3.38,50.86,0.38,52.56,1.70,53.94,1.38,,
11,62.26,65.94,3.68,67.31,1.37,68.71,1.40,70.93,2.22,,
12,76.16,79.94,3.78,81.71,1.77,82.01,0.30,83.94,1.93,,
13,54.37,58.17,3.80,58.02,-0.15,59.59,1.57,60.7,1.11,,
14,26.00,28.39,2.39,28.35,-0.04,29.1,0.75,30.16,1.06,,
15,59.04,61.97,2.93,62.70,0.73,64.01,1.31,65.44,1.43,,
16,77.44,80.96,3.52,81.95,0.99,83.27,1.32,85.19,1.92,,
17,45.19,48.13,2.94,48.36,0.23,49.71,1.35,51.8,2.09,,
18,77.41,80.64,3.23,82.49,1.85,83.04,0.55,85.26,2.22,,
19,52.31,53.52,1.21,53.79,0.27,55.34,1.55,57.89,2.55,,
20,48.87,52.90,4.03,53.79,0.89,55.08,1.29,57.5,2.42,,
21,63.54,69.91,6.37,70.59,0.68,71.99,1.40,74.45,2.46,,
22,51.27,54.47,3.20,54.86,0.39,56.67,1.81,59.455,2.785,,
23,65.39,70.94,5.55,71.85,0.91,74.36,2.51,77.54,3.18,,
24,40.57,42.78,2.21,45.83,3.05,45.17,-0.66,46.66,1.49,,
25,44.60,51.47,6.87,49.50,-1.97,51.67,2.17,53.29,1.62,,
26,52.90,56.87,3.97,57.08,0.21,59.13,2.05,61.28,2.15,,
27,81.77,86.70,4.93,86.29,-0.41,87.84,1.55,89.9,2.06,,
28,37.05,39.13,2.08,39.31,0.18,40.17,0.86,41.35,1.18,,
29,63.85,65.61,1.76,66.51,0.90,66.87,0.36,68.52,1.65,,
30,39.68,43.33,3.65,43.92,0.59,44.03,0.11,45.11,1.08,,
31,44.50,49.34,4.84,48.71,-0.63,49.09,0.38,50.38,1.29,,
32,31.52,33.13,1.61,33.14,0.01,34.67,1.53,35.06,0.39,,
33,42.32,45.83,3.51,45.70,-0.13,47.54,1.84,49.52,1.98,,
34,63.07,66.62,3.55,67.42,0.80,69.66,2.24,71.6,1.94,,
35,41.10,46.10,5.00,46.28,0.18,47.43,1.15,49.44,2.01,,
36,49.83,53.81,3.98,55.14,1.33,55.97,0.83,58.26333333,2.293333333,,
37,42.16,45.33,3.17,46.02,0.69,47.5,1.48,49.03,1.53,,
38,65.32,70.05,4.73,71.04,0.99,72.64,1.60,75.13,2.49,,
39,50.49,53.20,2.71,53.85,0.65,54.97,1.12,55.78,0.81,,
40,61.36,65.66,4.30,66.81,1.15,67.64,0.83,69.56,1.92,,
41,60.76,63.93,3.17,65.38,1.45,66.11,0.73,67.64,1.53,,
42,54.44,57.62,3.18,58.48,0.86,59.88,1.40,60.96,1.08,,
43,64.96,67.96,3.00,68.84,0.88,70.56,1.72,72.08,1.52,,
44,55.19,57.81,2.62,59.24,1.43,59.67,0.43,60.51,0.84,,
45,47.13,49.94,2.81,51.86,1.92,52.13,0.27,53.51,1.38,,
98,85.91,89.75,3.84,90.54,0.79,91.93,1.39,93.735,1.805,,
99,87.31,89.23,1.92,89.93,0.70,91.27,1.34,93.11,1.84,,
AVG,53.93,57.83,3.34,58.51,0.68,59.88,1.18,61.62,1.74,,
